platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,OX4uB9aEIa4,https://www.youtube.com/shorts/OX4uB9aEIa4,Yuta & Mio Turn Small Again! 😆 #sakuraschoolsimulator#sakura #viralshorts#viralvideo,Trend Bolt 101,4580,2026-09-18T00:30:15Z,31.7,7,5343391,20451,8,0.383,168539.6,
YouTube Shorts,Q6LfI3v1zN8,https://www.youtube.com/shorts/Q6LfI3v1zN8,#shorts #shortsfeed  #short #viral #shortsviral #shortvideo #shortsviral #trending #subscribe #reels,𝐀𝐌𝐀𝐙𝐈𝐍𝐆 𝐖𝐎𝐑𝐋𝐃 𝐏𝐑𝐎 ,67500,2026-09-17T13:53:14Z,42.3,75,6285695,49372,12,0.786,148524.2,
YouTube Shorts,N3AsJN_4LTE,https://www.youtube.com/shorts/N3AsJN_4LTE,Ngakak banget ketika siswa dikira guru,Uni Nurmilla,826000,2026-09-18T10:55:31Z,21.3,20,2102629,10596,26,0.505,98794.0,
YouTube Shorts,ckshjcMjlGI,https://www.youtube.com/shorts/ckshjcMjlGI,Ayaan ko mila surprise 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2350000,2026-09-18T12:25:25Z,19.8,37,1931269,26503,594,1.403,97614.6,
YouTube Shorts,2szONBJA0jA,https://www.youtube.com/shorts/2szONBJA0jA,होली में  chaman ka haal 🔥😂 #trending #viral #shorts #comedy #funny #ytshorts #youtubeshorts,GOLU FUN 2.0,102000,2026-09-18T01:30:21Z,30.7,30,2895988,18130,4,0.626,94324.5,
YouTube Shorts,j6H6B4dtM-A,https://www.youtube.com/shorts/j6H6B4dtM-A,Bhang pili gora ne #shorts,Mansi Ranwa,12400000,2026-09-18T14:05:12Z,18.1,17,1587448,9380,2,0.591,87599.9,
YouTube Shorts,YHOjtSKJtpc,https://www.youtube.com/shorts/YHOjtSKJtpc,funny jokes video 😥🤣😅 #shorts #short #trending,Holy content 441,28200,2026-09-17T12:00:18Z,44.2,20,3561598,16161,5,0.454,80573.2,
YouTube Shorts,822GZhP4ygA,https://www.youtube.com/shorts/822GZhP4ygA,Mansi ki mummy choti ho gayi #shorts #trending #magic #funny,Ranwa Family,25700000,2026-09-17T13:27:07Z,42.8,8,3202143,11517,7,0.36,74892.9,
YouTube Shorts,pg56xhdP4Oo,https://www.youtube.com/shorts/pg56xhdP4Oo,Ho gayi shopping ( part - 1 ) 😂😂 #funny #viral #shorts #youtube #shopping #naveencomedyclub,naveen_comedy_club,468000,2026-09-18T06:19:45Z,25.9,130,1620411,26301,90,1.629,62614.7,
YouTube Shorts,_MtxvUDCU70,https://www.youtube.com/shorts/_MtxvUDCU70,Ahmad kesy jaye gha#ytshorts#ytshortsindia#youtubeshorts#trending#shorts#shortvideo#viral,    Arham Family Shorts ⭐,309000,2026-09-17T14:00:35Z,42.2,37,2459966,23352,3,0.949,58295.1,
YouTube Shorts,QdMWvDrVXIc,https://www.youtube.com/shorts/QdMWvDrVXIc,TUOLOL! Alim bilang cara pemecatan purbaya suka-suka presiden #shorts #trending #viral #purbaya,RuangBaca,150000,2026-09-18T00:56:07Z,31.3,149,1780776,31466,5118,2.054,56943.0,
YouTube Shorts,ZYJkqxMZNWs,https://www.youtube.com/shorts/ZYJkqxMZNWs,playful chihuahua ends up in trash can #dog #cute #funny #viral #shorts,Pihu Vfx,27300,2026-09-18T10:30:17Z,21.7,11,1212125,0,4,0.0,55849.2,
YouTube Shorts,A5ug3ZbTHG0,https://www.youtube.com/shorts/A5ug3ZbTHG0,Ayaan ka birthday aa gaya 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2350000,2026-09-17T12:25:12Z,43.8,34,2441886,29370,354,1.217,55765.8,
YouTube Shorts,wWtRNhnT_VY,https://www.youtube.com/shorts/wWtRNhnT_VY,Phone prank 😂|#viral #funny #comedy #youtubeshorts #trending #shorts #short #ytshorts #love #yt,Abhijeet Singhania,1310000,2026-09-18T06:05:14Z,26.1,22,1445828,7556,2,0.523,55351.1,
YouTube Shorts,WeNlDOsS3-Y,https://www.youtube.com/shorts/WeNlDOsS3-Y,पापा ने दिमाग की नस हिला दी 😂😂 #funny #viral #shorts #youtube #papa #naveencomedyclub,naveen_comedy_club,468000,2026-09-17T14:17:03Z,41.9,90,2227860,37790,160,1.703,53140.4,
YouTube Shorts,yXqcfbK9gSk,https://www.youtube.com/shorts/yXqcfbK9gSk,I Bought School kit Surprise Gift #shorts #viral,Crazy Saaquib,4660000,2026-09-17T11:28:54Z,44.7,126,2358577,51561,486,2.207,52733.2,
YouTube Shorts,_gfu5qUdw90,https://www.youtube.com/shorts/_gfu5qUdw90,Modern Engineering at Another Level 😱#shorts #trending #machine #engineering #technology #viral,Industrial_world_ Hub,84300,2026-09-17T14:00:02Z,42.2,129,2219058,20782,24,0.938,52574.7,
YouTube Shorts,rCUV8jmTmRA,https://www.youtube.com/shorts/rCUV8jmTmRA,Tillu gets a Lager Light 😂 #reels #funny #comedy #trending #shorts #viral #video #relatable,BMV Shorts ,63000,2026-09-17T13:30:24Z,42.7,36,2155180,0,7,0.0,50470.7,
YouTube Shorts,tA5aMlycXKk,https://www.youtube.com/shorts/tA5aMlycXKk,Army Jj sister Mirror Face Reaction Wipe it Down Trend 🪖-Minecraft Short Animation #trending #shorts,Stonecraft Studios,5730000,2026-09-17T12:00:16Z,44.2,10,2139929,58897,939,2.796,48410.5,
YouTube Shorts,QBViKAm67zk,https://www.youtube.com/shorts/QBViKAm67zk,lu main motor ugal-ugalan bang 🤣 #shorts #reels #trending #youtubeshorts #viral #trendingshorts,Lolipop1,16100,2026-09-17T12:30:05Z,43.7,11,2094476,16779,585,0.829,47921.0,
YouTube Shorts,2LmF1R8qNK4,https://www.youtube.com/shorts/2LmF1R8qNK4,রাজুর বন্ধু হাওয়া হয়ে গেলো 🤣 ! #popular #viral #ytshorts #trending #comedy 😱😱,Biswajit Das,8910,2026-09-17T12:50:18Z,43.4,19,1980996,9613,3,0.485,45676.7,
