platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,vLAz5sVoOjo,https://www.youtube.com/shorts/vLAz5sVoOjo,RO Cleaning ￼Hack 💦 #shorts #viral #trending,The Saini Ala ,664000,2026-09-19T03:50:40Z,28.9,60,4516406,43108,45,0.955,156247.3,
YouTube Shorts,2BrooPMBHhY,https://www.youtube.com/shorts/2BrooPMBHhY,cake Chori hua  🎂😱 #funny #youtubeshorts #comedy #viral #shorts #171,Cut Short,6350,2026-09-19T12:43:28Z,20.0,10,2901414,13336,2,0.46,144886.0,
YouTube Shorts,ccbfmpIIfUs,https://www.youtube.com/shorts/ccbfmpIIfUs,he looked so tensed 😂#shorts#viral#million#100k#boy,𝐌𝐢𝐬𝐬𝐀𝐧𝐚𝐯𝐞𝐫𝐚,17400,2026-09-18T13:30:05Z,43.2,6,5485752,0,485,0.009,126842.5,
YouTube Shorts,KIOJE20Gtps,https://www.youtube.com/shorts/KIOJE20Gtps,ANYTHING You Write on Your BODY Becomes REAL... #shorts #roblox #viral,Noobified,330000,2026-09-19T04:50:29Z,27.9,40,3332200,73928,770,2.242,119397.1,
YouTube Shorts,ySSsJJ40JUU,https://www.youtube.com/shorts/ySSsJJ40JUU,Chhotu do packet Maggi Le Aaya bhai ke liye #viral #shorts,Abir boss ,2400000,2026-09-19T12:08:56Z,20.6,32,2404120,20042,3,0.834,116698.9,
YouTube Shorts,UGa-BY0fOx0,https://www.youtube.com/shorts/UGa-BY0fOx0,Wait For The FERRARI😱🤩#shorts #viral #viralvideo,Pulse speaker,32900,2026-09-18T20:03:37Z,36.7,10,3927055,12652,6,0.322,107034.4,
YouTube Shorts,t6BnWr7h86M,https://www.youtube.com/shorts/t6BnWr7h86M,"aku punya kucing yang suka marah"" 😂😂 #shorts #funny #viral #comedy #kucing",Teman chio,38800,2026-09-19T00:46:40Z,32.0,9,3384794,16567,37,0.491,105866.9,
YouTube Shorts,rcV7EGxJZEk,https://www.youtube.com/shorts/rcV7EGxJZEk,एक कमेंट इन के लिया भी 🤬 #shorts #viral,    खाटू वाले श्याम ,3840,2026-09-19T02:10:51Z,30.6,14,3161237,25342,844,0.828,103412.8,
YouTube Shorts,HfgstoQayio,https://www.youtube.com/shorts/HfgstoQayio,Indian flag 15 August ke baad mein 😮 #shorts #viral #trending #flag,Vishnu swami 8870,4120,2026-09-18T14:25:04Z,42.3,11,4161154,24724,46,0.595,98297.7,
YouTube Shorts,WLiGfR4Sq1M,https://www.youtube.com/shorts/WLiGfR4Sq1M,I never understood it but people were soo creative#trending #viral #shorts #shortsfeed#fyp,hello hehe,66000,2026-09-18T15:11:21Z,41.6,11,3448596,139088,919,4.06,82977.2,
YouTube Shorts,03HLZ49n1Gg,https://www.youtube.com/shorts/03HLZ49n1Gg,Kalyani trend with student| #youtubeshorts #shorts #trend #viral @fdccompany648,Shweta Garg (Model),3360000,2026-09-18T15:45:26Z,41.0,12,3210022,35367,228,1.109,78307.1,
YouTube Shorts,ckshjcMjlGI,https://www.youtube.com/shorts/ckshjcMjlGI,Ayaan ko mila surprise 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2280000,2026-09-18T12:25:25Z,44.3,37,3428931,39301,833,1.17,77356.5,
