platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,P6Q46ahT4u4,https://www.youtube.com/shorts/P6Q46ahT4u4,She Conquered The Impossible Water Challenge 😱 #viral  #obstaclecourse  #ExtremeChallenge #Shorts,WOW.1,18800,2026-09-12T20:51:34Z,47.0,25,18786734,105980,75,0.565,399965.8,
YouTube Shorts,tcx4eX66598,https://www.youtube.com/shorts/tcx4eX66598,Aaj Papa Ko Chakma De Diye 😅 | #minivlog #recipe #dailyvlog #shorts #viral #masti #travel,Lado Vlogs,5570000,2026-09-13T11:27:17Z,32.4,45,12108100,144688,596,1.2,373988.8,
YouTube Shorts,N099NLR6ldg,https://www.youtube.com/shorts/N099NLR6ldg,Papa ne chalna shuru kiya 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2300000,2026-09-14T12:25:25Z,7.4,30,1397168,18495,240,1.341,188636.1,
YouTube Shorts,8WGXBwx5Bis,https://www.youtube.com/shorts/8WGXBwx5Bis,Bharti 🤣 #funny #bhartisingh #abhishekkumar #comedy #viral #shorts #jannatzubair #funny #trending,Mubbi Edits🪽,74000,2026-09-13T14:08:20Z,29.7,12,3387357,31217,68,0.924,114085.4,
YouTube Shorts,Bp3TDo_3Xdw,https://www.youtube.com/shorts/Bp3TDo_3Xdw,I’d throw up 🤢🙏🏻 #shorts #viral #lunchables #satisfying #foodie,kim,8250,2026-09-13T06:28:30Z,37.4,6,3773976,37474,1115,1.023,101029.2,
YouTube Shorts,uhikHiH3vis,https://www.youtube.com/shorts/uhikHiH3vis,bts video 🤷 #foryou #shorts #trending #tranding #new #shortvideo  #dance,Adarsh Rao,73700,2026-09-13T10:13:07Z,33.6,14,2912742,16735,45,0.576,86658.6,
YouTube Shorts,g-SFZJyQJqE,https://www.youtube.com/shorts/g-SFZJyQJqE,Mera to talaq ho gaya 😂😂 #funny #viral #shorts #youtube #papa #naveencomedyclub,naveen_comedy_club,440000,2026-09-13T14:48:30Z,29.0,147,2242088,34170,111,1.529,77254.9,
YouTube Shorts,v18DUT2_BNg,https://www.youtube.com/shorts/v18DUT2_BNg,Ranking FUNNIEST KIDS Moments #shorts #funny #ranking #viral,Scope Ranking,2810,2026-09-12T21:56:31Z,45.9,38,2860544,18956,25,0.664,62337.0,
YouTube Shorts,qN5AnDOKvag,https://www.youtube.com/shorts/qN5AnDOKvag,Yesh ne pani ki tanki fod dee 😱😭 #shorts #viralshorts,RGT Mohit,217000,2026-09-13T07:00:26Z,36.8,14,2295342,9987,4,0.435,62334.3,
YouTube Shorts,fPIC-D1Msrk,https://www.youtube.com/shorts/fPIC-D1Msrk,Bachpan ki straw 😂 #trending #reels #funny #comedy #shorts #viral #video #shortvideo #relatable,Kamine Fun,4140,2026-09-13T13:30:00Z,30.3,30,1850330,0,5,0.0,61006.0,
YouTube Shorts,Qg7BZzM7_hE,https://www.youtube.com/shorts/Qg7BZzM7_hE,nonu or ham kaddu 😭🤣 #triggardinsaan #malhanfamily #ruchikarathore #trending #funny,Laddu 🍒,257000,2026-09-13T04:09:27Z,39.7,11,2357074,23602,49,1.003,59412.9,
