platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,zBfapTt1bLg,https://www.youtube.com/shorts/zBfapTt1bLg,KASIH NILAI DONG VIDIO KAMI🤭#trending,AldoFitmandira Official ,4040000,2026-09-20T03:14:18Z,30.0,16,6044482,43267,1020,0.733,201741.4,
YouTube Shorts,8FAVXHKgu9A,https://www.youtube.com/shorts/8FAVXHKgu9A,Baby stops crying in brother's arms 🥰 #shorts #shortsfeed #viralvideo,Holly_nc_bolly 🎬,432000,2026-09-19T13:00:25Z,44.2,13,7352631,0,369,0.005,166375.8,
YouTube Shorts,4V4JHQhGAmc,https://www.youtube.com/shorts/4V4JHQhGAmc,लड़कियों की मायके की हवा बाजी 😜🤪 Comedy Shorts #viral #comedy #funny #shorts #trending,Keshav Shashi Vlogs,24000000,2026-09-19T11:44:10Z,45.5,99,6175296,180431,875,2.936,135829.0,
YouTube Shorts,KbbsXU1G46Q,https://www.youtube.com/shorts/KbbsXU1G46Q,Moye na milo😂😂😂#funny #foryou #viral #shorts #ytshorts,Ajaad2437 shorts ,152000,2026-09-20T13:47:02Z,19.4,28,2630551,24115,18,0.917,135483.8,
YouTube Shorts,r4r7xPtgWBM,https://www.youtube.com/shorts/r4r7xPtgWBM,Bappa chale gaye 🥺 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2380000,2026-09-20T05:30:36Z,27.7,29,3326034,35488,535,1.083,120117.4,
YouTube Shorts,VQHIPuOUB2I,https://www.youtube.com/shorts/VQHIPuOUB2I,Principal Teacher vs Student 😱😈 #shorts #reels #video #viral,Jomy Production,33000000,2026-09-20T09:00:33Z,24.2,45,2657232,20850,28,0.786,109845.2,
YouTube Shorts,Jm_Ex6Je1yw,https://www.youtube.com/shorts/Jm_Ex6Je1yw,Bhootiya hath aur siddhu 🤣🔥 #trendingshorts #youtubeshorts #viralshorts #comedy #shorts #short,SR REELS,12000,2026-09-19T13:30:29Z,43.7,29,4576306,0,10,0.0,104740.6,
YouTube Shorts,ySSsJJ40JUU,https://www.youtube.com/shorts/ySSsJJ40JUU,Chhotu do packet Maggi Le Aaya bhai ke liye #viral #shorts,Abir boss ,2410000,2026-09-19T12:08:56Z,45.1,32,4199732,29045,4,0.692,93221.8,
YouTube Shorts,1nFWid9o0qw,https://www.youtube.com/shorts/1nFWid9o0qw,Ronaldo Jr  x Yamal x Mrbeast Skills video 🔥☠️🔥 #trending #trending #viral #viralvideo #viralnow,RKCR7 EDITZ,36800,2026-09-19T16:22:29Z,40.8,6,3760488,19161,31,0.51,92112.1,
YouTube Shorts,37MPv26EZew,https://www.youtube.com/shorts/37MPv26EZew,😱💯Hide and seek 🤣தருணங்கள் 👊🏻 #shorts #village #comedy #viral,Rajkzr ,5290000,2026-09-20T02:38:44Z,30.6,114,2768886,108220,430,3.924,90621.8,
YouTube Shorts,2ummtnY-C8M,https://www.youtube.com/shorts/2ummtnY-C8M,Sakura Family and Big Head Zombie Mio 🧟👹 #sakuraschoolsimulator #shorts #viral,James archer68,19000,2026-09-19T14:00:05Z,43.2,11,3888879,13352,2,0.343,90023.5,
YouTube Shorts,2BrooPMBHhY,https://www.youtube.com/shorts/2BrooPMBHhY,cake Chori hua  🎂😱 #funny #youtubeshorts #comedy #viral #shorts #171,Cut Short,6650,2026-09-19T12:43:28Z,44.5,10,4002063,16288,2,0.407,89983.7,
