platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,-g8pKZY3BYc,https://www.youtube.com/shorts/-g8pKZY3BYc,​When Mushak takes Bappa home 🐀😂 #shorts #shortsfeed #viralvideo #ganeshchaturthi,Holly_nc_bolly 🎬,407000,2026-09-17T08:00:36Z,24.4,10,5025539,0,376,0.007,205902.1,
YouTube Shorts,UOHA6Wb35r8,https://www.youtube.com/shorts/UOHA6Wb35r8,Allah sab dekhta Hy #shorts #viralshorts #trendingshorts #ytshorts #islamicprayer  #india #pakistan,islamiczoon,54900,2026-09-17T00:00:11Z,32.4,49,4919439,42894,28,0.872,151767.3,
YouTube Shorts,H6awzcKO29g,https://www.youtube.com/shorts/H6awzcKO29g,Every Secret Becomes A CREATURE... #shorts #roblox #viral,Noobified,344000,2026-09-16T22:00:25Z,34.4,46,4282158,95880,383,2.248,124443.5,
YouTube Shorts,K144Sjmuefw,https://www.youtube.com/shorts/K144Sjmuefw,New viral trend #tiktok #music #dance #duet #funny #trending #viralshorts #viral #usa #usashorts #vs,Jack Marlon 174,11500,2026-09-16T10:03:39Z,46.4,14,5632208,27594,54,0.491,121497.5,
YouTube Shorts,C1zHrXLDZ1w,https://www.youtube.com/shorts/C1zHrXLDZ1w,Papa ke fir hua dard 😣 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2340000,2026-09-16T12:25:15Z,44.0,31,5055703,46737,316,0.931,114911.3,
YouTube Shorts,7FllwHtixmc,https://www.youtube.com/shorts/7FllwHtixmc,Wait for the BMW M3😱😱#shorts #viral #viralvideo,JoshThePig,193000,2026-09-16T20:00:19Z,36.4,9,4090880,13888,15,0.34,112349.3,
YouTube Shorts,9WBxJsh2vdE,https://www.youtube.com/shorts/9WBxJsh2vdE,An incredible transformation🤯No one expected this😳 #shorts #makeup #viral #transformation,Marina Fedii,7790,2026-09-16T14:41:54Z,41.7,7,4237642,13080,12,0.309,101575.6,
YouTube Shorts,hAqYkj-uK6U,https://www.youtube.com/shorts/hAqYkj-uK6U,Kon Khun Kar Raha Tha 😱😭 #shorts #comedy #viral #funny #village,Mr Rabbani Comedy ,843000,2026-09-16T13:39:33Z,42.8,76,4260601,60072,24,1.411,99644.0,
YouTube Shorts,aFgldRMe8d0,https://www.youtube.com/shorts/aFgldRMe8d0,அடடா… என்ன ஒரு தரமான சம்பவம்! 😍❤️ இந்த குட்டி செய்ததை பாருங்க! 🥹 #viral #trending,Ohm Muruga ,42200,2026-09-16T12:08:58Z,44.3,29,3722093,39219,216,1.059,84080.9,
YouTube Shorts,kJvVAn5L8sg,https://www.youtube.com/shorts/kJvVAn5L8sg,Ganesh visarjan 😭 #bappa #ganehsji #ganesh #shorts #viral #dewasqueen,Dewas Queen Official👑🤗,247000,2026-09-16T13:30:29Z,42.9,63,3238830,117762,1520,3.683,75480.7,
YouTube Shorts,2sq9sp0to1I,https://www.youtube.com/shorts/2sq9sp0to1I,Papa Rudar Ko Chot Lag Gayi 😢 #shorts #youtubeshorts #shortsfeed #viral #video,Chukku Ki Masti,49300,2026-09-16T15:10:33Z,41.2,16,3016989,12946,1,0.429,73154.1,
YouTube Shorts,eHEbAUaEgGQ,https://www.youtube.com/shorts/eHEbAUaEgGQ,When u are absent😭|Simranshorts| #shorts #school #schoollife #comedy #funny #sad #viral #yt #fyp,Simranshorts,376000,2026-09-16T13:20:01Z,43.1,60,3042251,27141,317,0.903,70612.4,
YouTube Shorts,JOKOxwv3Kkc,https://www.youtube.com/shorts/JOKOxwv3Kkc,new promo😱man Sundar #DangalTV #ruchita #promo #mansundarserial #shorts #viral,Riyaofficial7.0🫧🫶,96700,2026-09-16T14:37:35Z,41.8,17,2306087,34206,43,1.485,55181.4,
YouTube Shorts,ttXbkn0IpTk,https://www.youtube.com/shorts/ttXbkn0IpTk,WHICH FRIEND ARE YOU? #shorts #viral #trend,Kat,12300000,2026-09-16T12:55:39Z,43.5,8,2392172,27462,1074,1.193,55005.2,
YouTube Shorts,7LRM-di0Uuc,https://www.youtube.com/shorts/7LRM-di0Uuc,Adhesive tape PRANK Brookhaven Funny Meme #roblox#shorts#funny#viralshorts,RAJ ANIMATION,17700,2026-09-16T14:30:18Z,41.9,10,2277636,8406,16,0.37,54342.7,
YouTube Shorts,7f-9X_rmIEs,https://www.youtube.com/shorts/7f-9X_rmIEs,🤣नमक की पूरी थैली! 😱😂||#bhaiya #Brothersister #comedy #viral,Member😂2gang,2760,2026-09-16T13:36:58Z,42.8,13,2208691,10357,0,0.469,51603.4,
YouTube Shorts,HnqboVTRPT4,https://www.youtube.com/shorts/HnqboVTRPT4,samantha baby shower hd video 🥹♥️ #shorts #shortsfeed #viral #viralvideo,It's About Edits,423000,2026-09-16T14:07:33Z,42.3,13,2165562,28188,123,1.307,51205.5,
YouTube Shorts,JQ0v8EYVpaU,https://www.youtube.com/shorts/JQ0v8EYVpaU,Amazing Wooden Family Art! 🪵✨ #Shorts #viral #motivation #trending #rahisd #rahisd #rangi #artwork,Rahi SD 2.O ,27600,2026-09-16T16:40:30Z,39.7,16,1872513,26651,20,1.424,47116.2,
YouTube Shorts,_-kQWK1DnGA,https://www.youtube.com/shorts/_-kQWK1DnGA,Mummy birthday 🎁|#viral #funny #comedy #trending #youtubeshorts #shorts #short #ytshorts #love #yt,Abhijeet Singhania,1300000,2026-09-16T12:55:04Z,43.5,22,2016131,11471,5,0.569,46348.2,
YouTube Shorts,A3NY9UYK4Ww,https://www.youtube.com/shorts/A3NY9UYK4Ww,Running from 🦍 #subscribe #shorts #trendingshorts #trendingvideo #trending #funny #lucu #viral,RDchannell,24900,2026-09-17T00:00:31Z,32.4,6,1499131,3715,2,0.248,46256.9,
YouTube Shorts,a5Dkc-AVtQ0,https://www.youtube.com/shorts/a5Dkc-AVtQ0,IPhone15 pro max vs IPhone16 pro max #foryou #shorts #viral #trending,Ashraful Alam,462000,2026-09-16T09:00:43Z,47.4,6,2177985,6896,4,0.317,45943.7,
YouTube Shorts,OUbO8XSTTBs,https://www.youtube.com/shorts/OUbO8XSTTBs,Viral Video : PM मोदी के जन्मदिन पर बुर्ज खलीफा ने दी खास बधाई | #viral #pmmodi #latestnews,Zee News,42400000,2026-09-17T02:05:35Z,30.3,5,1377561,16406,317,1.214,45427.5,
YouTube Shorts,nplaZpQF7GI,https://www.youtube.com/shorts/nplaZpQF7GI,Chhotu ka Bhai Bahan Riksha ka Piche Daud ke a raha hai #shorts #trending #video,Abir boss ,2400000,2026-09-17T03:26:47Z,29.0,32,1268592,23987,2,1.891,43788.3,
YouTube Shorts,ytq4tX40nA8,https://www.youtube.com/shorts/ytq4tX40nA8,jai shree mahakal#Mahadev #ghost #foryou #shorts #song #viralshorts 3240,BINDASS ViBES,75400,2026-09-16T16:19:05Z,40.1,11,1744142,5280,1,0.303,43495.5,
YouTube Shorts,LYJUWgi46ik,https://www.youtube.com/shorts/LYJUWgi46ik,2 dairy milk and 1bule umbrella unboxing #unboxing #shorts #yummy #trending #viral,POP CANDY,695,2026-09-16T15:29:30Z,40.9,17,1619229,8181,1,0.505,39565.0,
