platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,O7QYuMioBfA,https://www.youtube.com/shorts/O7QYuMioBfA,Bappa ko le aye ghar 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2310000,2026-09-15T12:25:34Z,7.1,30,1491532,23457,415,1.601,208872.5,
YouTube Shorts,0CKMnbkDffc,https://www.youtube.com/shorts/0CKMnbkDffc,Principal Teacher vs Student 😱😈 #shorts #viral #reels #video,Jomy Production,33000000,2026-09-14T09:45:38Z,33.8,45,5613249,46016,65,0.821,166040.9,
YouTube Shorts,qq2LKHaw2Gw,https://www.youtube.com/shorts/qq2LKHaw2Gw,when my friend forget his brain...💀||  #shorts #viral #trending #bts #fyp #relatable #edit,𝐒𝐇𝐀𝐃𝐎𝐖𝐄𝐃𝐈𝐓𝐙,145000,2026-09-14T14:26:49Z,29.1,6,4645932,0,27,0.001,159544.2,
YouTube Shorts,dLbXsWp83_g,https://www.youtube.com/shorts/dLbXsWp83_g,Allah sab dekhta Hy #shorts #viralshorts #trendingshorts #ytshorts #islamicprayer  #india #pakistan,islamiczoon,14800,2026-09-14T00:00:25Z,43.6,54,6398670,76024,82,1.189,146893.1,
YouTube Shorts,wqtzPgsxD7E,https://www.youtube.com/shorts/wqtzPgsxD7E,Ye ai dev bapa ale😍🙏 ll Ganesh Chaturthi special video ll🥰❤️#viral #shorts #trending #video ￼,Mohini Verma ,1260000,2026-09-14T00:30:29Z,43.1,12,6261251,31046,11,0.496,145411.2,
YouTube Shorts,gQnIsOaTgkc,https://www.youtube.com/shorts/gQnIsOaTgkc,Aap bhi aao mummy my whole heart 🥹💗 #triggardinsaan #ruchikarathore #trending #shorts,Laddu 🍒,263000,2026-09-14T05:00:36Z,38.6,11,5452888,63790,228,1.174,141424.1,
YouTube Shorts,Y_yWZU8l2m8,https://www.youtube.com/shorts/Y_yWZU8l2m8,Holi ke baad pagle dost 😂#trendingshorts #comedy #viralshorts #shorts #ytshorts #funny #relatable,A9 Reels,52000,2026-09-14T02:01:31Z,41.5,30,5427405,32356,5,0.596,130649.5,
YouTube Shorts,V6bQTu2cdv0,https://www.youtube.com/shorts/V6bQTu2cdv0,Help i still can't figure it out ✋️😭! #gabriela #daniela #katseye #viral #shorts,BLINKXSAN,51600,2026-09-14T10:45:20Z,32.8,9,3418014,68127,303,2.002,104171.5,
YouTube Shorts,wZO4eZBNiwg,https://www.youtube.com/shorts/wZO4eZBNiwg,Family 🥰 Bonding #viral #shorts #family #trending,U Turns Creations,5310000,2026-09-15T08:55:49Z,10.6,90,1087402,37261,0,3.427,102231.1,
YouTube Shorts,eYyRAxYD_LA,https://www.youtube.com/shorts/eYyRAxYD_LA,बहुत बड़े नागराज को बचाया मैंने #shortsfeed #viral #fyp #foryou #viralshorts #trending, Atif Sahil 11,248000,2026-09-14T01:30:37Z,42.1,168,4092048,110413,239,2.704,97298.3,
