platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,UHh6oXB9PeA,https://www.youtube.com/shorts/UHh6oXB9PeA,Thank & Congratulations for 4 million Subscribers @Imkran01  #ytshorts #shorts #karanindore #viral,Arjun Rajput,378000,2026-09-25T06:52:43Z,25.9,19,5027886,126008,411,2.514,194221.7,
YouTube Shorts,etl1pVDTLws,https://www.youtube.com/shorts/etl1pVDTLws,❤️मेरे छोटे से लड्डू गोपाला❤️#laddugopal#viral#shorts#bhakti#bhajan 🙏🌺🦚,Sahil Sharma 07 ,77100,2026-09-25T02:30:14Z,30.3,10,4666899,25084,24,0.538,154216.1,
YouTube Shorts,cvIjSQMIzkc,https://www.youtube.com/shorts/cvIjSQMIzkc,kasian yang putih gak dapet susu 😭❗#youtubeshorts #viral #trending,Repa TV,173000,2026-09-25T04:00:04Z,28.8,10,4411706,24424,128,0.557,153371.4,
YouTube Shorts,D0AW8XHBnAU,https://www.youtube.com/shorts/D0AW8XHBnAU,Gullak fod ke ❤️👍😍 #shorts #trending #video,Kanish Prajapati,1110000,2026-09-25T10:11:40Z,22.6,46,2411724,18031,3,0.748,106848.1,
YouTube Shorts,gemyv1jtWCw,https://www.youtube.com/shorts/gemyv1jtWCw,அவ்வளவுதான் சோலி முடிஞ்சு Revanth React Fact RRF | Reaction video | Raabi trending,Mr. React Fact,84600,2026-09-25T03:53:10Z,28.9,14,2019397,20192,161,1.008,69924.1,
YouTube Shorts,EjTqhFSZF9w,https://www.youtube.com/shorts/EjTqhFSZF9w,Sanju bana khatarnak Bakra ￼🐐😱#shorts #youtubeshorts #trending #viral #video #youtubeshorts,SUNDAR BAMNE 01 ,122000,2026-09-25T02:26:07Z,30.3,40,1869545,22902,11,1.226,61638.7,
YouTube Shorts,Ste2noFgvk0,https://www.youtube.com/shorts/Ste2noFgvk0,ganpati bappa morya 😍#shorts #viral,Sath Mein Swad,148000,2026-09-24T09:54:54Z,46.9,60,2383341,0,470,0.02,50870.7,
YouTube Shorts,vO8euQSqDlw,https://www.youtube.com/shorts/vO8euQSqDlw,Bhang pili gora ne 😃😃 #shorts #viral #mrandmrskoranga #trending,Mr and Mrs Koranga ,11700000,2026-09-24T12:35:00Z,44.2,21,2148463,0,5,0.0,48626.9,
YouTube Shorts,1tfAwJZDlB0,https://www.youtube.com/shorts/1tfAwJZDlB0,Wait for transition 🫶🦋 #Shorts #YouTubeShorts #ViralShorts #TrendingShorts #ExplorePage,justt_chill1,305000,2026-09-25T09:52:16Z,22.9,24,1104375,27995,444,2.575,48236.8,
YouTube Shorts,O5x0JbA1u1Y,https://www.youtube.com/shorts/O5x0JbA1u1Y,Mazdoor ka dimag kharab kar diya 😂😂 #funny #viral #shorts #youtube #mazdoor #naveencomedyclub,naveen_comedy_club,505000,2026-09-24T14:49:19Z,41.9,108,2021508,31306,102,1.554,48195.4,
YouTube Shorts,zUjr9E3nJhc,https://www.youtube.com/shorts/zUjr9E3nJhc,Try not to laugh challenge 639🤣- Minecraft Edition #shorts #funny #trending #minecraft,Petrosyan_boss,1950000,2026-09-24T18:15:38Z,38.5,58,1718071,0,25,0.001,44619.0,
YouTube Shorts,Rluo2_sxniY,https://www.youtube.com/shorts/Rluo2_sxniY,ससुर ने बहु को क्या बोला 🥹🤪#shorts #funny #viral #video 🥰🤪,Preeti Solanki,38400,2026-09-24T16:32:03Z,40.2,15,1688257,8140,19,0.483,41963.3,
YouTube Shorts,pU6AzNB2M5A,https://www.youtube.com/shorts/pU6AzNB2M5A,Cuando te aguantas la risa#elmariana #bethcast #parati #viral #shorts,ElMarianaCastVerse,235000,2026-09-24T18:45:04Z,38.0,9,1501650,34387,60,2.294,39501.7,
