platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,q9PzgPirKJQ,https://www.youtube.com/shorts/q9PzgPirKJQ,"Akshay & Tiger, Really roasted them 😂🔥 #shorts #viral #trending #shortsfeed",The khabri shorts,94800,2026-09-14T14:30:35Z,42.3,23,5738469,77263,192,1.35,135797.9,
YouTube Shorts,0CKMnbkDffc,https://www.youtube.com/shorts/0CKMnbkDffc,Principal Teacher vs Student 😱😈 #shorts #viral #reels #video,Jomy Production,33000000,2026-09-14T09:45:38Z,47.0,45,5980642,50633,67,0.848,127229.9,
YouTube Shorts,3BWOx634n2c,https://www.youtube.com/shorts/3BWOx634n2c,This Kind of Rest With You #shorts #funny #viral #trending #guitar,RSLee,23300,2026-09-15T00:00:23Z,32.8,18,3981481,27915,173,0.705,121532.0,
YouTube Shorts,Z0M5G7ia8Ac,https://www.youtube.com/shorts/Z0M5G7ia8Ac,Yupi cicin dekat #subscribe #funny #humor #comedy #lucu #shorts #trending #humor #viral,ObetPSP,7140,2026-09-15T05:52:21Z,26.9,8,2984199,10046,7,0.337,110958.9,
YouTube Shorts,y-8kWGJRckU,https://www.youtube.com/shorts/y-8kWGJRckU,Middle ClassReal Maa Family Story#shorts #video #viral #maa,Scary Toon hindi,11700,2026-09-15T00:55:12Z,31.8,45,3498251,0,126,0.004,109845.1,
YouTube Shorts,58LR54WfKFI,https://www.youtube.com/shorts/58LR54WfKFI,Funny video 😂😂  #fypシ゚ #funny  #couplegoals #trending,The Otutus,13300,2026-09-15T10:37:26Z,22.1,13,2429900,12303,39,0.508,109735.5,
YouTube Shorts,ZaAMYfMCUcs,https://www.youtube.com/shorts/ZaAMYfMCUcs,Dilan Teer Bija || Boys Amazing Dance ||Trending Dance Video ||#shorts,Shree Creation,927000,2026-09-15T04:00:36Z,28.8,23,3111061,50683,138,1.634,108184.0,
YouTube Shorts,w0yfoZAZIvg,https://www.youtube.com/shorts/w0yfoZAZIvg,That one Loudspeaker Teacher 😂 #shorts #viral #explorepage #relatable #fizakhanspn,Fiza khan Spn ,7410000,2026-09-14T13:04:29Z,43.7,46,4647555,49311,173,1.065,106369.8,
YouTube Shorts,V6bQTu2cdv0,https://www.youtube.com/shorts/V6bQTu2cdv0,Help i still can't figure it out ✋️😭! #gabriela #daniela #katseye #viral #shorts,BLINKXSAN,51900,2026-09-14T10:45:20Z,46.0,9,4861130,83117,337,1.717,105650.1,
YouTube Shorts,nbkhMp5qCL0,https://www.youtube.com/shorts/nbkhMp5qCL0,Everyone Is Hunted By A Random Animal... #shorts #roblox #viral,Yami Stories ,19500,2026-09-15T09:30:06Z,23.3,56,2235344,21945,237,0.992,96079.9,
