platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,pHU2aYr90cE,https://www.youtube.com/shorts/pHU2aYr90cE,Gar me gana bajana 😂 #reels #trending #shorts #funny #viral #video #relatable #shortvideo #youtube,BMV Shorts ,53900,2026-09-15T13:30:17Z,43.3,35,13741261,0,55,0.0,317172.7,
YouTube Shorts,lkdhS36NDgU,https://www.youtube.com/shorts/lkdhS36NDgU,Jj sister Mirror Face Reaction Wipe it Down Trend 2😈🥰-Minecraft Short Animation #trending #shorts,Stonecraft Studios,5720000,2026-09-16T00:00:30Z,32.8,10,6711482,127905,3669,1.96,204489.8,
YouTube Shorts,C1zHrXLDZ1w,https://www.youtube.com/shorts/C1zHrXLDZ1w,Papa ke fir hua dard 😣 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2310000,2026-09-16T12:25:15Z,20.4,31,3392835,36274,266,1.077,166249.3,
YouTube Shorts,i0ka-wCpdb0,https://www.youtube.com/shorts/i0ka-wCpdb0,That one class Monitor✅😏|SimranShorts| #shorts #school #schoollife #comedy #funny #sad #viral #yt,Simranshorts,357000,2026-09-15T13:40:07Z,43.2,60,6875906,58738,162,0.857,159310.8,
YouTube Shorts,oEdsORNCwp8,https://www.youtube.com/shorts/oEdsORNCwp8,Funny video short video #harekfriendkaminahotahai #comedy #love #funny #trending,SHANKAR VLOGER 90,21300,2026-09-15T14:07:59Z,42.7,9,4954628,18292,7,0.369,116044.6,
YouTube Shorts,O7QYuMioBfA,https://www.youtube.com/shorts/O7QYuMioBfA,Bappa ko le aye ghar 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2310000,2026-09-15T12:25:34Z,44.4,30,5123111,53484,627,1.056,115378.0,
YouTube Shorts,58LR54WfKFI,https://www.youtube.com/shorts/58LR54WfKFI,Funny video 😂😂  #fypシ゚ #funny  #couplegoals #trending,The Otutus,13800,2026-09-15T10:37:26Z,46.2,13,5131164,18346,49,0.358,111052.0,
YouTube Shorts,9gWLLU8OZmo,https://www.youtube.com/shorts/9gWLLU8OZmo,Ganesh Chaturthi🙏 #shortsfeed #trending #viral #shorts #ganesh #bappa #ganeshchaturthi,PR PRESENTS,12200000,2026-09-15T14:50:47Z,42.0,65,4426806,73363,135,1.66,105443.9,
YouTube Shorts,dIwctdLRCVI,https://www.youtube.com/shorts/dIwctdLRCVI,Khet Mai Jungli Suwar 😱😭 #shorts #comedy #viral #funny #comedy #village,MRS COMEDY,98800,2026-09-15T13:42:44Z,43.1,73,4220971,53678,15,1.272,97896.4,
YouTube Shorts,LqcfTgPXx5E,https://www.youtube.com/shorts/LqcfTgPXx5E,Bhang pili gora ne ❤️🙏 #shorts #thebnfamily #love #viral,The BN Family,10300000,2026-09-16T01:35:09Z,31.2,17,2823932,0,2,0.0,90385.7,
YouTube Shorts,1h0Ai8t6HdM,https://www.youtube.com/shorts/1h0Ai8t6HdM,Chhotu Krishna ban k School Jaega bahut maja aaega #shorts #trending #video,Abir boss ,2390000,2026-09-16T02:02:05Z,30.8,34,2761402,17469,4,0.633,89672.7,
YouTube Shorts,5CtAtuCh3GA,https://www.youtube.com/shorts/5CtAtuCh3GA,❤️Cute little baby krishna ji #art​ #krishna​ #shorts​ #viral​,Artist Vivek,221000,2026-09-16T04:05:21Z,28.7,11,2348082,0,67,0.003,81701.5,
YouTube Shorts,r5uRSmV_8YQ,https://www.youtube.com/shorts/r5uRSmV_8YQ,Tillu ki betadine 😂 #trending #reels #funny #video #viral #comedy #shorts #shortvideo #viralvideo,Kamine Fun,7790,2026-09-15T13:30:10Z,43.3,34,3291018,0,0,0.0,75959.1,
YouTube Shorts,AjOyogK5-oM,https://www.youtube.com/shorts/AjOyogK5-oM,Ye to palat gaya 😂😂 #funny #viral #shorts #youtube #rishta #naveencomedyclub,naveen_comedy_club,447000,2026-09-15T17:54:05Z,38.9,157,2908047,52237,151,1.801,74704.1,
YouTube Shorts,Z1S9metV4go,https://www.youtube.com/shorts/Z1S9metV4go,Calmo ? 😡 #viral #shorts #fy #bike #244,Lorenzo do grau 🚲🥷,838000,2026-09-15T14:03:10Z,42.8,12,2386483,16249,86,0.684,55790.0,
YouTube Shorts,EwNiPXtuAKo,https://www.youtube.com/shorts/EwNiPXtuAKo,CARA SEMPURNA MEMALSUKAN KEMATIANNYA #shorts #viral,CERITA MISTERI,276000,2026-09-16T05:00:22Z,27.8,178,1532674,44169,47,2.885,55086.9,
YouTube Shorts,nbkhMp5qCL0,https://www.youtube.com/shorts/nbkhMp5qCL0,Everyone Is Hunted By A Random Animal... #shorts #roblox #viral,Yami Stories ,19000,2026-09-15T09:30:06Z,47.3,56,2543058,22006,252,0.875,53733.4,
YouTube Shorts,rlOu6PzUPXA,https://www.youtube.com/shorts/rlOu6PzUPXA,😂🤣😂 #funny #funnyshorts #comedy #comedyshorts #viralshorts #reaction #shortsfeed #shorts #foryou,Goldie glam ,28400,2026-09-15T09:49:38Z,47.0,8,2502416,8324,15,0.333,53240.9,
YouTube Shorts,wZO4eZBNiwg,https://www.youtube.com/shorts/wZO4eZBNiwg,Family 🥰 Bonding #viral #shorts #family #trending,U Turns Creations,5310000,2026-09-15T08:55:49Z,47.9,90,2305237,61907,0,2.685,48127.4,
YouTube Shorts,XHBN2BRFVog,https://www.youtube.com/shorts/XHBN2BRFVog,The snake was shut inside the pit. #shorts #viral #trending #video,Mirotha 2.0,9850,2026-09-16T03:50:30Z,29.0,22,1348186,0,10,0.001,46509.6,
YouTube Shorts,Q9dmN1BQ6Po,https://www.youtube.com/shorts/Q9dmN1BQ6Po,❤️छवि छलिया कि मैंने जबसे निहारी❤️#laddugopal#viral#shorts#bhakti#bhajan🙏🌺🦚,Sahil Sharma 07 ,24400,2026-09-15T10:00:22Z,46.8,10,2166516,10754,13,0.497,46270.5,
YouTube Shorts,XikIqZo5Q4U,https://www.youtube.com/shorts/XikIqZo5Q4U,Neymar VS Yamal Family..🤩🥹,F7aep,384000,2026-09-15T22:21:58Z,34.5,34,1458170,0,66,0.005,42311.4,
YouTube Shorts,E-ZgtnUn_Wo,https://www.youtube.com/shorts/E-ZgtnUn_Wo,School for chor 😂 #shorts #viral #explorepage #relatable #fizakhanspn,Fiza khan Spn ,7410000,2026-09-15T15:02:43Z,41.8,58,1750122,24101,154,1.386,41885.3,
YouTube Shorts,pwaAph_Vb2w,https://www.youtube.com/shorts/pwaAph_Vb2w,Rumah mbah gering kebakaran#viral #shorts #shortvideo #comedy #gudanghiburan #funny,Kang preman,62600,2026-09-15T09:00:09Z,47.8,22,1912326,14177,213,0.752,39984.7,
YouTube Shorts,Weit-X0a0tQ,https://www.youtube.com/shorts/Weit-X0a0tQ,Hagura vai😭🤮🤮||#shorts #viral #ktm #ytshorts,PP Shorts,17800,2026-09-16T01:00:19Z,31.8,59,1182009,11420,8,0.967,37142.4,
