platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,p0nSIRKoYEA,https://www.youtube.com/shorts/p0nSIRKoYEA,Rakhi ke liye pagal bhai🤣#trendingshorts #viralshorts #comedyshorts #funnyshorts #shorts #relatable,K7 comedy 2.0,960000,2026-09-22T01:41:15Z,31.1,36,8818244,57006,14,0.647,283831.2,
YouTube Shorts,YhPtQG698XM,https://www.youtube.com/shorts/YhPtQG698XM,Didi ne ghar se nikal diya🤣 #reels #trending #comedy #viral #video #shorts #relatable #shortvideo,Apds comedy team,27500,2026-09-21T13:32:37Z,43.2,24,7182793,88034,36,1.226,166220.2,
YouTube Shorts,sJUrXwNQhbU,https://www.youtube.com/shorts/sJUrXwNQhbU,Zameen Say Nikala Spiderman 😳 😱 #shorts #funny #reels #viral #spiderman #video #shortsfeed,Chinki Ki Masti,76000,2026-09-22T01:28:01Z,31.3,16,4703090,22724,5,0.483,150310.4,
YouTube Shorts,REiSIB2MV1I,https://www.youtube.com/shorts/REiSIB2MV1I,"Papa ki Kanjoosi , Mummy ki Planning 😂 #shorts #relatable #viral #comedy #family",Barkha Tiwari official,3540000,2026-09-21T15:00:10Z,41.8,125,6128924,133327,810,2.189,146788.8,
YouTube Shorts,B5EbFxVfDrk,https://www.youtube.com/shorts/B5EbFxVfDrk,Allah sab dekhta Hy #shorts #viralshorts  #trendingshorts #ytshorts #islamicprayer #india #pakistan,Islamic hobby ,14100,2026-09-22T00:30:25Z,32.2,45,4110320,20798,18,0.506,127455.0,
YouTube Shorts,1CBz8sRYt48,https://www.youtube.com/shorts/1CBz8sRYt48,semangka aneh malah jadi telor 😂 #shorts #funny #viral #comedy,Teman chio,42700,2026-09-21T23:06:59Z,33.6,9,4140962,12255,2,0.296,123097.3,
YouTube Shorts,r-vyHh24BDY,https://www.youtube.com/shorts/r-vyHh24BDY,Wrap Me in Plastic (Slowed Down Version) Trend #tiktok #trending #edit#trend#dance#lyrics#viralvideo,beastlyGOJO,339000,2026-09-21T10:02:57Z,46.7,12,5333524,29022,857,0.56,114191.2,
YouTube Shorts,sdeGxdbPXbU,https://www.youtube.com/shorts/sdeGxdbPXbU,Bachon ke baal katwaye 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2400000,2026-09-21T12:40:04Z,44.1,28,4835312,36945,398,0.772,109673.2,
YouTube Shorts,Njqio1diQwo,https://www.youtube.com/shorts/Njqio1diQwo,Sweetheart | Misti or Papa | trending shorts video cute girl #shorts #trending #viralvideo,Misti Happy Lifestyle Games & Shorts,29500000,2026-09-22T03:25:39Z,29.3,19,3107794,0,6,0.0,105964.5,
YouTube Shorts,yBnlF4pvEH0,https://www.youtube.com/shorts/yBnlF4pvEH0,Principal vs Student 😜😱❤️ #shorts #video #school #viral #funny,Jomy Production,33000000,2026-09-22T09:00:20Z,23.8,51,2247708,21189,29,0.944,94638.1,
YouTube Shorts,9kH0KV3mC2Q,https://www.youtube.com/shorts/9kH0KV3mC2Q,❤️मेरे छोटे से लड्डू गोपाला❤️#cute#laddugopal#viral#shorts#bhakti bhajan#trending song 🙏🦚🌺,Sahil Sharma 07 ,62900,2026-09-22T01:40:38Z,31.1,10,2898658,12746,3,0.44,93267.7,
YouTube Shorts,p5ACRuVZM8c,https://www.youtube.com/shorts/p5ACRuVZM8c,Car gandi nahi honi chahiye 😂 #reels #trending #funny #shorts #comedy #relatable #viral #video,Kamine Fun,21100,2026-09-21T13:30:09Z,43.3,33,3858419,0,7,0.0,89204.5,
YouTube Shorts,rmfiy27sHis,https://www.youtube.com/shorts/rmfiy27sHis,If You Die In Your DREAM... You Die in Real LIFE... #shorts #roblox #viral,Noobified,356000,2026-09-21T23:30:15Z,33.3,37,2965041,83790,608,2.846,89168.9,
