platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,FoMLjR1NS-c,https://www.youtube.com/shorts/FoMLjR1NS-c,Jai Jagannath ✨🙏🚩 #shorts #jagannath #mystry #trending #viral #devotional #youtubeshorts #viral,Jagannath Story Studio ,19500,2026-09-22T14:00:13Z,42.6,14,6863688,90736,211,1.325,160952.0,
YouTube Shorts,lmWqI48M74k,https://www.youtube.com/shorts/lmWqI48M74k,😭 बाज ने कबूतर को मार दिया 🥹 #kabootar #viral #trending #video #shortvideo #viralvideo ❤️,Salman R 2000,1710000,2026-09-23T12:30:22Z,20.1,58,2762704,28374,3,1.027,137162.6,
YouTube Shorts,C9_3AInV85M,https://www.youtube.com/shorts/C9_3AInV85M,Things we all Did 😂 #shorts #relatable #viral,Aradhya Ki Masti,319000,2026-09-23T05:43:16Z,26.9,13,3689281,13577,10,0.368,137011.4,
YouTube Shorts,cxH-APN1iAY,https://www.youtube.com/shorts/cxH-APN1iAY,Papa ko le gaye doctor pas #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2410000,2026-09-23T12:45:28Z,19.9,29,2668650,28081,349,1.065,134169.4,
YouTube Shorts,JEPnApcKAEY,https://www.youtube.com/shorts/JEPnApcKAEY,Funny Bee on Ice cream 😱#shorts  Collab to @TroopaDeluxe #viral #trending #mario #funny #memes,Aries Fan,30100,2026-09-22T19:34:46Z,37.1,6,4545091,10387,6,0.229,122613.3,
YouTube Shorts,jGo4nYRVGVA,https://www.youtube.com/shorts/jGo4nYRVGVA,What If School Starts At Night😱 #shorts,Facts 713,342000,2026-09-22T15:41:00Z,41.0,67,4412463,0,1426,0.032,107714.1,
YouTube Shorts,sbZjQpHgo4U,https://www.youtube.com/shorts/sbZjQpHgo4U,Maine tere hi bharose hanuman #hanuman #hanumanji #bholenath #sunillodhi #viral #shorts #trending,Ketul Rathod,8100000,2026-09-22T23:30:37Z,33.1,12,3338115,20051,12,0.601,100734.8,
YouTube Shorts,mXP8AaekOGY,https://www.youtube.com/shorts/mXP8AaekOGY,Trending shorts video ☀️🤔 Make a choice #shorts #trend #usa,Mr Tungtungsahur Blue ,118000,2026-09-23T07:00:34Z,25.6,15,2435623,11755,14,0.483,94998.7,
YouTube Shorts,dpKP0do3duA,https://www.youtube.com/shorts/dpKP0do3duA,Saari duniya jalaa dunga 😭 #shorts #shortvideo #viralvideo #status #viralshorts #viral,Creator Ranjana,42900,2026-09-23T02:41:16Z,30.0,33,2742552,17690,7,0.645,91540.0,
YouTube Shorts,gXOpS2alALQ,https://www.youtube.com/shorts/gXOpS2alALQ,are hat ja na😱hat ta hi nahi#funny #cutebaby#comedy #viral #shorts #trending #viralvideo #shots#new,Bua Bhatije Family Comedy,11300,2026-09-22T10:44:27Z,45.9,6,4041235,12076,5,0.299,88030.7,
