platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,REiSIB2MV1I,https://www.youtube.com/shorts/REiSIB2MV1I,"Papa ki Kanjoosi , Mummy ki Planning 😂 #shorts #relatable #viral #comedy #family",Barkha Tiwari official,3530000,2026-09-21T15:00:10Z,17.7,125,3137982,84738,520,2.717,177008.6,
YouTube Shorts,sdeGxdbPXbU,https://www.youtube.com/shorts/sdeGxdbPXbU,Bachon ke baal katwaye 🤗 #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2390000,2026-09-21T12:40:04Z,20.1,28,3490004,29186,353,0.846,173953.6,
YouTube Shorts,KbbsXU1G46Q,https://www.youtube.com/shorts/KbbsXU1G46Q,Moye na milo😂😂😂#funny #foryou #viral #shorts #ytshorts,Ajaad2437 shorts ,156000,2026-09-20T13:47:02Z,42.9,28,6737109,52457,35,0.779,156871.3,
YouTube Shorts,aruNDKmyT94,https://www.youtube.com/shorts/aruNDKmyT94,saitama caught kakashi 🤣 #cosplay #shorts,SATIJE ,355000,2026-09-20T12:30:41Z,44.2,13,6923086,47637,228,0.691,156562.8,
YouTube Shorts,8kp6-jF6Jpw,https://www.youtube.com/shorts/8kp6-jF6Jpw,Chota Bhai va Bada Bhai🤩😎||Varesh Singh|| #shorts #ytshorts #viral #foryou #funny #comedy #love,Varesh Singh Bisht ,95400,2026-09-21T00:30:15Z,32.2,23,3240750,47529,98,1.47,100561.8,
YouTube Shorts,wOUOvq80jCc,https://www.youtube.com/shorts/wOUOvq80jCc,Chota bhai bana police wala 😂 #reels #trending #funny #comedy #viral #video #shorts #shortvideo,BM Fun You ,18700,2026-09-20T13:30:26Z,43.2,30,3856501,0,13,0.0,89222.5,
YouTube Shorts,sl72RpWJzpE,https://www.youtube.com/shorts/sl72RpWJzpE,🇮🇩BANGGA INDONESIA! #prabowo #viralvideo #youtubeshorts #viral #video #viralshorts #shorts,Lembaga Politik,116000,2026-09-20T11:07:14Z,45.6,6,3908386,4454,1813,0.16,85691.3,
YouTube Shorts,VuAVDXOhbHs,https://www.youtube.com/shorts/VuAVDXOhbHs,🌹🙏Radhe Radhe 🌹🙏 #shorts #viral #love #song #trending #radhakrishna #reels,Anshikaactor_85,4640,2026-09-20T11:44:45Z,45.0,11,3454630,18089,20,0.524,76795.5,
YouTube Shorts,XN8ahbEWZ8U,https://www.youtube.com/shorts/XN8ahbEWZ8U,Great moment .p805 #believe #imaginedragons #moments #amazing #skills #viral #shorts,great moment_MTH,521000,2026-09-21T15:29:21Z,17.2,58,1286362,5662,7,0.441,74608.6,
YouTube Shorts,ujA3z5rC18M,https://www.youtube.com/shorts/ujA3z5rC18M,परिवार की जिम्मेदारी सिर्फ बहू के जिम्मे ☺️ #viral #trending #shorts #anjalichauhan,Anjali Chauhan Vlog,12400000,2026-09-21T05:30:26Z,27.2,75,1996337,37560,51,1.884,73331.6,
YouTube Shorts,VQHIPuOUB2I,https://www.youtube.com/shorts/VQHIPuOUB2I,Principal Teacher vs Student 😱😈 #shorts #reels #video #viral,Jomy Production,33000000,2026-09-20T09:00:33Z,47.7,45,3486589,25344,33,0.728,73061.2,
YouTube Shorts,9FsqigQXQ8k,https://www.youtube.com/shorts/9FsqigQXQ8k,how r they still not canceled?😭 #fyp #viral #shorts #relatable #trending #dance #funny,INAFISH,1160000,2026-09-20T16:00:21Z,40.7,16,2653504,70980,868,2.708,65157.0,
